com_name,exp_req,jd,job_title,keyskills,link,loc,salary
,,,,,,,
Cargill Business Services India Private Limited,4-6 yrs,"4+ years practical experience with SAS, ETL, data processing and data analytics;2- 4 Years of experience ...",Data Analytics Manager,"Data Analysis, Predictive Modeling, Data Mining, SAS, Data Analytics...",,Gurgaon,  Not disclosed 
WSNE Consulting Pvt Ltd,3-8 yrs,"Experience -3 to 8 years of post-qualification experience including data analytics, data mining, dash ...",Urgent Hiring - Data Analytics in BIG 4 MNC at Gurgaon (delhi).,"Data Analytics, Data Mining, Tableau, Power Bi, Reporting, Finance, Risk...","https://www.naukri.com/recruiters/profile/ashishkumar-3049728?xz=0_0_7,https://www.naukri.com/recruiters/profile/ashishkumar-3049728?xz=0_0_7","Delhi NCR, Gurgaon",  Not disclosed 
Nupeak IT Solutions,6-10 yrs,"Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",Sr. SAS Data Analytics Consultant,"sas stat, text mining, base sas, data analysis, statistics, analytics...","https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7","Mumbai, Delhi, Jaipur",  Not disclosed 
WSNE Consulting Pvt Ltd,5-10 yrs,,Hiring for Big 4 for IA Data Analytics Profile,"Data Analytics, Internal Audit, auditing, Reporting, DA","https://www.naukri.com/recruiters/profile/sheenusharma-3758832?xz=0_0_7,https://www.naukri.com/recruiters/profile/sheenusharma-3758832?xz=0_0_7","Delhi NCR, Gurgaon","    5,00,000 - 13,00,000 P.A.  "
Experteye Consulting,5-9 yrs,,Lead Data Analytics ( Female ) - GGN ( Afternoon Shift with CAB ),"Logistic Regression, Linear Regression, SAS, Factor Analysis...","https://www.naukri.com/recruiters/profile/sunilkumarsingh?xz=0_0_7,https://www.naukri.com/recruiters/profile/sunilkumarsingh?xz=0_0_7",Delhi NCR,"    8,50,000 - 15,00,000 P.A.  "
Not Mentioned,0-3 yrs,Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...",,"Delhi NCR, Jaipur, Jodhpur","    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  "
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...",,"Bengaluru, Delhi NCR",  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",,Gurgaon,  Not disclosed 
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, R, Business Development, Data Analytics...","https://www.naukri.com/recruiters/profile/praneshsinha-1942258?xz=0_0_7,https://www.naukri.com/recruiters/profile/praneshsinha-1942258?xz=0_0_7","Bengaluru, Delhi NCR",  Not disclosed 
Ameriprise,7-8 yrs,&bull; Experience of minimum 3 years in SAS is mandate;&bull; Experience of minimum 3 years in ...,Leader - Data Analytics,"Leader - Data Analytics, Analyst",,Gurgaon,  Not disclosed 
HuQuo,3-8 yrs,"- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",Senior Business Analyst - SAS Data - Analytics Firm,"sql, business analysis, data analytics, data mining, sas, vba, regression...","https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Delhi NCR, Gurgaon",  Not disclosed 
Huquo Consulting Pvt. Ltd,5-10 yrs,- Extensive experience using Big Data technologies (4-12 years) to analyze and solve business problems ...,Manager/senior Manager - Big Data Analytics - Banking Domain,"sql, hive, spark, big data analytics, tableau, data analysis...","https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7,https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7",Gurgaon,  Not disclosed 
Cargill Business Services India Private Limited,5-10 yrs,"5+ years practical experience with SAS, ETL, data processing and data analytics;5- 10 Years of ...",Manager - Data & Analytics,"data analytics, data analysis, training needs, business generation, sas...",,Gurgaon,  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",,Gurgaon,  Not disclosed 
G-Cube Webwide Software Pvt. Ltd.,8-12 yrs,,Product Specialist,"R, Data Analytics, Machine Learning, Distribution System...","https://www.naukri.com/recruiters/profile/priyankalata-1321976?xz=0_0_7,https://www.naukri.com/recruiters/profile/priyankalata-1321976?xz=0_0_7",Noida,"    15,00,000 - 18,00,000 P.A.  "
EYGBS (INDIA) LLP,6-9 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",,Gurgaon,  Not disclosed 
SS Supply Chain Solutions Pvt Ltd,3-7 yrs,"- Should have sound knowledge and experience in Time series, Linear Regression, Splines, Decision trees, ...",Data Scientist - Analytics,"C++, Python, Java, Algorithms, Neural Networks, Machine Learning, SCALA...","https://www.naukri.com/recruiters/profile/ruchidikshit-3528864?xz=0_0_7,https://www.naukri.com/recruiters/profile/ruchidikshit-3528864?xz=0_0_7","Gurgaon, Pune",  Not disclosed 
Taazaa Inc.,3-5 yrs,"Manage end to end analytics projects including business requirement analysis, define scope, solution ...","Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...",,"Delhi, Noida",  Not disclosed 
